Date,Date2,Year,Month,Labor Force,Employment,Unemployment,Unemployment Rate
44347,05/31/2021,2021,5,1292558,1240134,52424,4.1
44377,06/30/2021,2021,6,1306976,1247726,59250,4.5
44408,07/31/2021,2021,7,1314861,1261144,53717,4.1
44439,08/31/2021,2021,8,1314942,1264435,50507,3.8
44469,09/30/2021,2021,9,1318975,1271555,47420,3.6
44500,10/31/2021,2021,10,1332740,1287462,45278,3.4
44530,11/30/2021,2021,11,1341688,1299043,42645,3.2
44561,12/31/2021,2021,12,1339834,1301083,38751,2.9
44592,01/31/2022,2022,1,1335659,1291197,44462,3.3
44620,02/28/2022,2022,2,1350560,1305613,44947,3.3
44651,03/31/2022,2022,3,1355186,1318545,36641,2.7
